text,text_with_marker,Sentiment,Regard,SDG16_danger_score,danger_label
Infowars Is Fighting Orwellian Propaganda Campaign  ,Infowars Is Fighting Orwellian Propaganda Campaign  ,neutral,negative,0.0007,
iI believe the word you are looking for is Christian. 2 John: 12-17,iI believe the word you are looking for is Christian. 2 John: 12-17,neutral,neutral,0.0007,
Boom! ,Boom! ,positive,neutral,0.0007,
"For us, we didn't decide to leave our megachurch because of huge issues. But there were TONS of little ones. In cases like that, where do you draw the line? We can blow off small issues to a certain point. But when it's every week, you start digging deeper. For me, the tipping point was the 'employee satisfaction survey' they gave the worship team.","For us, we didn't decide to leave our megachurch because of huge issues. But there were TONS of little ones. In cases like that, where do you draw the line? We can blow off small issues to a certain point. But when it's every week, you start digging deeper. For me, the tipping point was the 'employee satisfaction survey' they gave the worship team.",negative,other,0.0009,
Another one with 1 chance left - you fucktube ,Another one with 1 chance left - you fucktube ,negative,negative,0.0011,
"call me ""confused"" -- why was there a budget bill signed in january and why is another budget bill being signed today?  how many budget bills are there each year? 😼","call me ""confused"" -- why was there a budget bill signed in january and why is another budget bill being signed today?  how many budget bills are there each year? 😼",negative,neutral,0.0006,
8/01/18 0725 EDT Earthquake Indonesia 4.2 mb 75.81 Mi Depth us2000giw4  ,8/01/18 0725 EDT Earthquake Indonesia 4.2 mb 75.81 Mi Depth us2000giw4  ,neutral,neutral,0.0007,
"For He made Him who knew no sin to be sin for us, that we might become the righteousness of God in Him.~2Cor 5:21* thank you. Father!!","For He made Him who knew no sin to be sin for us, that we might become the righteousness of God in Him.~2Cor 5:21* thank you. Father!!",positive,positive,0.0012,
This is just plain funny and epic at the same time!   via @WayneDupreeShow,This is just plain funny and epic at the same time!   via @WayneDupreeShow,positive,positive,0.0006,
When they say 'Trump is prosecuting his political opponents!' ask yourself - is the President supposed to have POLITICAL OPPONENTS in the US Intelligence agencies?,When they say 'Trump is prosecuting his political opponents!' ask yourself - is the President supposed to have POLITICAL OPPONENTS in the US Intelligence agencies?,neutral,negative,0.0009,
   The Beginnings of Hate - an excellent video from a very level-headed man. Pass this one along to friends who don't understand what is going on. They will accept this where they may reject others. I've also started following @WayoftheWorld‍  and look forward to more great content.,   The Beginnings of Hate - an excellent video from a very level-headed man. Pass this one along to friends who don't understand what is going on. They will accept this where they may reject others. I've also started following @WayoftheWorld‍  and look forward to more great content.,positive,other,0.3058,potentially threatening_content
They should all be fired and sued in civil court.  ,They should all be fired and sued in civil court.  ,negative,negative,0.0012,
"'I am ok with twitter banning @m, they're a private company after all' — ben shapiro, smiling dementedly","'I am ok with twitter banning @m, they're a private company after all' — ben shapiro, smiling dementedly",neutral,negative,0.0007,
Fascinating to read the exchanges between right-wing Daily Mail commentator Peter Hitchens (brother of Christopher) and the bleeding heart Guardian's George Monbiot.  Guess which one's in favour of attacking Syria over alleged chemical attacks and who's against?,Fascinating to read the exchanges between right-wing Daily Mail commentator Peter Hitchens (brother of Christopher) and the bleeding heart Guardian's George Monbiot.  Guess which one's in favour of attacking Syria over alleged chemical attacks and who's against?,neutral,other,0.0008,
"Please refer to us as ""People of Light"" - the W word is outdated and racist, used a slur against PoL. ","Please refer to us as ""People of Light"" - the W word is outdated and racist, used a slur against PoL. ",negative,negative,0.1313,potentially threatening_content
"He has that look about him, that look that says he will hold one in his jaw till the swelling goes down.","He has that look about him, that look that says he will hold one in his jaw till the swelling goes down.",neutral,neutral,0.0016,
They deserve euthanasia. Like those who worship jews.,They deserve euthanasia. Like those who worship jews.,negative,negative,0.0012,
Yeah our driveway is a mud pit. It seems like the rain is just never-ending at this point.,Yeah our driveway is a mud pit. It seems like the rain is just never-ending at this point.,negative,negative,0.0008,
"Watch: Tommy Robinson ""State tries to get me killed because I oppose Islam"" - He was jailed in a cage with Muslim murderers  ","Watch: Tommy Robinson ""State tries to get me killed because I oppose Islam"" - He was jailed in a cage with Muslim murderers  ",negative,negative,0.0195,potentially expressed_hostility
So what do You think of Joseph Smith?,So what do You think of Joseph Smith?,neutral,positive,0.0008,
The minority that will outbreed you  and make you the minority ,The minority that will outbreed you  and make you the minority ,neutral,negative,0.0009,
Just posted 1st of 3 final 'controversial' (in theory) tweets for my 'project' testing out #Hypocrisy @ #Twitter.  ^ #IsThisOk only if #NonWhite ? Because #Diversity ? Me last week: ...MAYBE the hashtag algo is terrible and does not recognize #xyz IF the tweet ENDS with it? NOPE. >>> CENSORING 'CENSORSHIP'. :sigh: Proof: Th...,Just posted 1st of 3 final 'controversial' (in theory) tweets for my 'project' testing out #Hypocrisy @ #Twitter.  ^ #IsThisOk only if #NonWhite ? Because #Diversity ? Me last week: ...MAYBE the hashtag algo is terrible and does not recognize #xyz IF the tweet ENDS with it? NOPE. >>> CENSORING 'CENSORSHIP'. :sigh: Proof: Th...,negative,negative,0.001,
"This is a proper way to counter attack. Their system will not scale under this strategy, forcing them to expend more resources and manual approve more blue checks (or a private equivalent).","This is a proper way to counter attack. Their system will not scale under this strategy, forcing them to expend more resources and manual approve more blue checks (or a private equivalent).",negative,negative,0.0013,
Eid mubarak to all muslims. May peace be upon all of us 🙏,Eid mubarak to all muslims. May peace be upon all of us 🙏,positive,positive,0.0007,
Hollywood is a shit hole.,Hollywood is a shit hole.,negative,negative,0.0062,
"Current Prime Minister is Malcom Turnbull, ex banker.","Current Prime Minister is Malcom Turnbull, ex banker.",neutral,positive,0.0006,
   Canada- Trudeau’s India Trip Hit for Being an Epic Fail Costly at Over $1.5 Million,   Canada- Trudeau’s India Trip Hit for Being an Epic Fail Costly at Over $1.5 Million,negative,negative,0.0007,
Debunking 10 Lies About Syria and Assad  ,Debunking 10 Lies About Syria and Assad  ,negative,negative,0.0009,
"'Western world is built on RACISM' – BBC Newsnight guest makes SHOCK announcement If not for the white man this ‘professor of black studies’, yeah I know LOL, would be walking naked amongst the lions & zebras in Apefreaka.","'Western world is built on RACISM' – BBC Newsnight guest makes SHOCK announcement If not for the white man this ‘professor of black studies’, yeah I know LOL, would be walking naked amongst the lions & zebras in Apefreaka.",negative,negative,0.0009,
"#HitlerWasRight   #TheSouthWasRight   #Immigration , #Diversity and #CivilRights are tactics propagated by jews to acheive #WhiteGenocide !","#HitlerWasRight   #TheSouthWasRight   #Immigration , #Diversity and #CivilRights are tactics propagated by jews to acheive #WhiteGenocide !",negative,negative,0.0005,
I will fight along your side to defeat all israeli-americans that are attempting to destroy this country. Please note the specificity of my statement. I'm not against you in this. We are on the same team. We will only become enemies if you start fighting individuals simply because they are a member of a particular group. --- I have a slightly more nuanced position when it comes to Islam. They suck.,I will fight along your side to defeat all israeli-americans that are attempting to destroy this country. Please note the specificity of my statement. I'm not against you in this. We are on the same team. We will only become enemies if you start fighting individuals simply because they are a member of a particular group. --- I have a slightly more nuanced position when it comes to Islam. They suck.,negative,negative,0.0025,
Armed Clan Turns German Club Into Warzone ,Armed Clan Turns German Club Into Warzone ,neutral,negative,0.0009,
I did. It was awesome! :),I did. It was awesome! :),positive,positive,0.0008,
 Considering joining this service possibility? Do NOT join before reading this Share Now Biz Review, Considering joining this service possibility? Do NOT join before reading this Share Now Biz Review,negative,neutral,0.0006,
At least @voxday has the courage to speak to @AndrewAnglin like an adult.  @stefanmolyneux is apparently too much of a coward.      #SpeakFreely #GabFam #FreeSpeech #Liberty #FirstAmendment #AltRight #AltMedia,At least @voxday has the courage to speak to @AndrewAnglin like an adult.  @stefanmolyneux is apparently too much of a coward.      #SpeakFreely #GabFam #FreeSpeech #Liberty #FirstAmendment #AltRight #AltMedia,negative,negative,0.0013,
@FrameGamesTweets Are you a bot that automatically converts my Tweets to Gabs are you a dedicated human person taking the time to manually repost? Thanks!,@FrameGamesTweets Are you a bot that automatically converts my Tweets to Gabs are you a dedicated human person taking the time to manually repost? Thanks!,neutral,neutral,0.0006,
She is inciting violence and colluding with her liberal supporters encouraging them  to carry out her order to destroy the president.   There is a law being broken in their somewhere.  ,She is inciting violence and colluding with her liberal supporters encouraging them  to carry out her order to destroy the president.   There is a law being broken in their somewhere.  ,negative,negative,0.0012,
"damn, nice smile... that can win hearts, damn...","damn, nice smile... that can win hearts, damn...",positive,positive,0.0006,
"Red, White, and Blue true...","Red, White, and Blue true...",neutral,neutral,0.0007,
"seriously that bozo could not have come up with that van. And, it would not have survived in that Democrat locality. Give me a break.","seriously that bozo could not have come up with that van. And, it would not have survived in that Democrat locality. Give me a break.",negative,negative,0.0007,
"Delay was always the goal. Feinstein's rule: I played my cards late; therefore, I win.","Delay was always the goal. Feinstein's rule: I played my cards late; therefore, I win.",neutral,negative,0.0012,
Rodent Guys gopher extermination service for gopher control Claremont protects homes from the - ,Rodent Guys gopher extermination service for gopher control Claremont protects homes from the - ,neutral,negative,0.001,
"I knew he was legit a few years back when Glenn Beck was talking about how he (Assad) had reached out to him for an interview, but he declined because he didn't want to give a platform to a terrorist. More like he didn't want to humanize a regular mid eastern politician that would upset the carefully constructed Jewish narrative.","I knew he was legit a few years back when Glenn Beck was talking about how he (Assad) had reached out to him for an interview, but he declined because he didn't want to give a platform to a terrorist. More like he didn't want to humanize a regular mid eastern politician that would upset the carefully constructed Jewish narrative.",negative,negative,0.0017,
She seems stable.   ,She seems stable.   ,positive,positive,0.0013,
Thanks to everyone who nominated A SEA OF SKULLS for the 2017 Dragon Awards. I'm pleased to be able to announce that it is a Finalist for Best Fantasy Novel.   ,Thanks to everyone who nominated A SEA OF SKULLS for the 2017 Dragon Awards. I'm pleased to be able to announce that it is a Finalist for Best Fantasy Novel.   ,positive,positive,0.0007,
 There are just too many of them sometimes - pesky little buggars., There are just too many of them sometimes - pesky little buggars.,negative,negative,0.0019,
"#TBT to when we faced off with #Antifa in Indianapolis, IN. Circa 2017. #MAGA #AmericaFirst","#TBT to when we faced off with #Antifa in Indianapolis, IN. Circa 2017. #MAGA #AmericaFirst",neutral,neutral,0.0007,
PomoNews: (POSTMODERNISM) THE ESSENCE OF EINSTEIN IS 'WHITE MAN'  #postmodernism #academia #Science,PomoNews: (POSTMODERNISM) THE ESSENCE OF EINSTEIN IS 'WHITE MAN'  #postmodernism #academia #Science,neutral,other,0.0008,
"Cause you go ""Jews did 9/11""","Cause you go ""Jews did 9/11""",neutral,negative,0.0011,
Where are all the White people?  White Genocide in action....Congress/Senate sold out to Allah....,Where are all the White people?  White Genocide in action....Congress/Senate sold out to Allah....,negative,negative,0.0006,
"TIL On August 24, 1919: Ray Caldwell who was pitching for the Cleveland Indians was struck by lightning after playing for 8 2/3 innings, got up from the ground, checked himself, finished pitching to get the last out and they won 2-1 over the Athletics   ","TIL On August 24, 1919: Ray Caldwell who was pitching for the Cleveland Indians was struck by lightning after playing for 8 2/3 innings, got up from the ground, checked himself, finished pitching to get the last out and they won 2-1 over the Athletics   ",neutral,neutral,0.0013,
"I don't buy the 'the people we vote for have no control over how the government is run' argument. It's easier to blame everything on a conspiracy than to face a messy reality sometimes. Example,10 years ago lots of people believed the only reason there were almost no electric cars on the market was due to a conspiracy by oil companies. Now that Tesla exists we all see the real costs and challenges that come with electric cars.  Walk into any southern Baptist Church and ask the sweet old lady playing the piano if we should have laws that prevent hate speech, like fuck, cunt, or taking the Lord's name in vain. She'll say ""absolutely sweetie"". Then ask her if America should allow the poor immigrants from Mexico to come in so they can escape the violence in their own country and have a better life for their family. She'll say ""oh of course!"" Then ask her if abortion should be legal. She'll say ""Heck no! What do you think I am a democrat?""  The probability of this story being true was much higher about 20 years ago. But thanks to the internet we're all getting exposed to better arguments from people like Ben Shapiro on a daily basis. Although I'm sure there's some truth to it, I don't buy the notion that conspiracy is entirely to blame for our country's predicament.","I don't buy the 'the people we vote for have no control over how the government is run' argument. It's easier to blame everything on a conspiracy than to face a messy reality sometimes. Example,10 years ago lots of people believed the only reason there were almost no electric cars on the market was due to a conspiracy by oil companies. Now that Tesla exists we all see the real costs and challenges that come with electric cars.  Walk into any southern Baptist Church and ask the sweet old lady playing the piano if we should have laws that prevent hate speech, like fuck, cunt, or taking the Lord's name in vain. She'll say ""absolutely sweetie"". Then ask her if America should allow the poor immigrants from Mexico to come in so they can escape the violence in their own country and have a better life for their family. She'll say ""oh of course!"" Then ask her if abortion should be legal. She'll say ""Heck no! What do you think I am a democrat?""  The probability of this story being true was much higher about 20 years ago. But thanks to the internet we're all getting exposed to better arguments from people like Ben Shapiro on a daily basis. Although I'm sure there's some truth to it, I don't buy the notion that conspiracy is entirely to blame for our country's predicament.",negative,negative,0.1528,potentially threatening_content
"The following statement was published by UK Labour leader & Leader of the Opposition @jeremycorbyn, and, at his request, was ""read at today's demonstration [in London] supporting the Palestinian people in Gaza"".   …","The following statement was published by UK Labour leader & Leader of the Opposition @jeremycorbyn, and, at his request, was ""read at today's demonstration [in London] supporting the Palestinian people in Gaza"".   …",neutral,other,0.0017,
This was exactly what I was looking for. - ,This was exactly what I was looking for. - ,positive,neutral,0.0008,
@realdonaldtrump‍ Request your Secretary to implement Paper Ballots both State and County levrls with strict regulations for Voting pro toe starting for the midterms November 2018.     ,@realdonaldtrump‍ Request your Secretary to implement Paper Ballots both State and County levrls with strict regulations for Voting pro toe starting for the midterms November 2018.     ,neutral,neutral,0.0007,
"Plasma, the Fourth Phase of Matter ","Plasma, the Fourth Phase of Matter ",neutral,neutral,0.0008,
No.   It’s 1:07AM where I am and I’m using an iPhone to do all this. It takes time to respond and create posts.   It’s been dreadful talking to you. You hurl labels at me before you ask my stance on topics. You assume messages that I’m not intending. And you are impatient. I’m trying to have a dialogue but you’re just trying to fight.,No.   It’s 1:07AM where I am and I’m using an iPhone to do all this. It takes time to respond and create posts.   It’s been dreadful talking to you. You hurl labels at me before you ask my stance on topics. You assume messages that I’m not intending. And you are impatient. I’m trying to have a dialogue but you’re just trying to fight.,negative,negative,0.0006,
"#CLFA Stocking Stuffer sale is over, but my novel is still only #99c till Year-End to mark my 30 yrs in the US. Pro-American, Optimistic tale of regular people vs oppressive gov't. Let's #MAGA and keep dystopias fictional :)   ","#CLFA Stocking Stuffer sale is over, but my novel is still only #99c till Year-End to mark my 30 yrs in the US. Pro-American, Optimistic tale of regular people vs oppressive gov't. Let's #MAGA and keep dystopias fictional :)   ",positive,other,0.0006,
I hope a big tittied Israeli kills @Patrick_little‍,I hope a big tittied Israeli kills @Patrick_little‍,negative,negative,0.0006,
Klayman: Kavanaugh Forced to Admit He Was Wrong in Klayman v. Obama Landmark 4th Amendment Case! @realDonaldTrump @michellemalkin @IngrahamAngle @seanhannity @marklevinshow @larryelder @MonicaCrowley - via @FreedomWatchUSA ,Klayman: Kavanaugh Forced to Admit He Was Wrong in Klayman v. Obama Landmark 4th Amendment Case! @realDonaldTrump @michellemalkin @IngrahamAngle @seanhannity @marklevinshow @larryelder @MonicaCrowley - via @FreedomWatchUSA ,neutral,negative,0.0007,
"Rosanne is right, she does look like a planet of the apes monkey!  The left is soooo up in arms about this ""racist"" remark its hilarious, because its really not racist!   ","Rosanne is right, she does look like a planet of the apes monkey!  The left is soooo up in arms about this ""racist"" remark its hilarious, because its really not racist!   ",negative,negative,0.0022,
 Everyone that is a Patriot should follow @412Anon‍ See his work and share, Everyone that is a Patriot should follow @412Anon‍ See his work and share,positive,positive,0.0007,
"Makeup is such bullshit. I mean, I can appreciate tasteful makeup but god damn come on.","Makeup is such bullshit. I mean, I can appreciate tasteful makeup but god damn come on.",negative,negative,0.0027,
Not true. And they can stay where they are.,Not true. And they can stay where they are.,neutral,neutral,0.0007,
RT @ChuckRossDC: Lost track of how many claims in Omarosa's book that have now been directly disputed. And Cohen is supposedly friends with her ,RT @ChuckRossDC: Lost track of how many claims in Omarosa's book that have now been directly disputed. And Cohen is supposedly friends with her ,neutral,negative,0.0006,
"Homeowner Shoots, Kills One Of Three Armed Intruders  #2a #2ndAmendment #Guns #GunOwners #GunLaws #ArmedDefense #SelfDefense","Homeowner Shoots, Kills One Of Three Armed Intruders  #2a #2ndAmendment #Guns #GunOwners #GunLaws #ArmedDefense #SelfDefense",neutral,negative,0.0008,
"Former FBI director James Comey in Miami May 2, at Arsht Center - ","Former FBI director James Comey in Miami May 2, at Arsht Center - ",neutral,neutral,0.0008,
"For any of you who live in Niggerville, this is probably more effective than a Taser (go to 08:30)  ","For any of you who live in Niggerville, this is probably more effective than a Taser (go to 08:30)  ",neutral,negative,0.007,
And the person chopping your raw uncooked salad that has AIDS (with open sores) should be of no concern to you..right?,And the person chopping your raw uncooked salad that has AIDS (with open sores) should be of no concern to you..right?,negative,negative,0.0012,
"You not given me an answer I not rejecting what you said I commented on it, I did not ignore it, but you said sin is gods word, I asked you what godsword is and you give me scripture that is irrelevant to the question, if you cant explain godsword in your own words just admit it..   So I ask again in your own words what is gods word?? ","You not given me an answer I not rejecting what you said I commented on it, I did not ignore it, but you said sin is gods word, I asked you what godsword is and you give me scripture that is irrelevant to the question, if you cant explain godsword in your own words just admit it..   So I ask again in your own words what is gods word?? ",negative,other,0.0029,
The money masters strike again?   👃💰,The money masters strike again?   👃💰,neutral,negative,0.0007,
Says the guy that whines whenever CNN gets harassed.,Says the guy that whines whenever CNN gets harassed.,negative,negative,0.0011,
"Thanks think u r correct, God Bless ","Thanks think u r correct, God Bless ",positive,positive,0.0006,
What man is going to complain about that. Babies are adorable. ,What man is going to complain about that. Babies are adorable. ,positive,other,0.0014,
"Transgenderism is literally pushing the lie that men choose to be women and vice versa. The only reason why it was removed from the criteria of mental illness was because of opinionated democratic consensus, not because of objective evidence. That's why none of you can cite data from the APA that disproves it.","Transgenderism is literally pushing the lie that men choose to be women and vice versa. The only reason why it was removed from the criteria of mental illness was because of opinionated democratic consensus, not because of objective evidence. That's why none of you can cite data from the APA that disproves it.",negative,negative,0.0014,
The Greg Gutfeld Show 10/13/18 |   ,The Greg Gutfeld Show 10/13/18 |   ,neutral,neutral,0.0008,
She will never regret this. She will make a fortune with Go Fund Me money  ,She will never regret this. She will make a fortune with Go Fund Me money  ,positive,neutral,0.0012,
"I know the wheels of justice are moving forward.  I just want our president, Q, and the Anon patriots to know, all of you are in our thoughts and prayers.  Believe me, not one hour goes by when our love, best wishes, and positive energy for your safety and success, are not sent to you.  We have waited our lifetime for justice and righteousness to prevail.  The murders and atrocities committed by these evil people, will not go unpunished.  The warmongering politicians and profiteers, along with the globalists and pedophiles, will soon be held accountable for their actions.  Tic-toc.  Judgement day has arrived!","I know the wheels of justice are moving forward.  I just want our president, Q, and the Anon patriots to know, all of you are in our thoughts and prayers.  Believe me, not one hour goes by when our love, best wishes, and positive energy for your safety and success, are not sent to you.  We have waited our lifetime for justice and righteousness to prevail.  The murders and atrocities committed by these evil people, will not go unpunished.  The warmongering politicians and profiteers, along with the globalists and pedophiles, will soon be held accountable for their actions.  Tic-toc.  Judgement day has arrived!",positive,other,0.5958,potentially threatening_content
So why do you want Pompeo who would do the same thing Hillary Clinton would do?,So why do you want Pompeo who would do the same thing Hillary Clinton would do?,negative,negative,0.0006,
CNN Mocked over Self-Important ‘Facts First’ Ad Attempt to Shake ‘Fake News’ Label  ,CNN Mocked over Self-Important ‘Facts First’ Ad Attempt to Shake ‘Fake News’ Label  ,negative,negative,0.001,
Hi! I've been off for a long time.,Hi! I've been off for a long time.,negative,neutral,0.0007,
I think he said this before this event occurred.,I think he said this before this event occurred.,neutral,neutral,0.0022,
Former Black Lives Matter member reveals Clinton and Soros are behind all < America Fans  via @Mike_Press19,Former Black Lives Matter member reveals Clinton and Soros are behind all < America Fans  via @Mike_Press19,neutral,positive,0.0006,
"ima drop this off, DEATH TO PEDOPHILES!","ima drop this off, DEATH TO PEDOPHILES!",negative,negative,0.0005,
Remember to vote in the District Attorney Elections June 5th!  ,Remember to vote in the District Attorney Elections June 5th!  ,neutral,neutral,0.0006,
Don't know how I'd get through the day without the laughs you guys bring (Bob Kostic in spades). Love you all!,Don't know how I'd get through the day without the laughs you guys bring (Bob Kostic in spades). Love you all!,positive,positive,0.0008,
Hahahahaha!,Hahahahaha!,positive,neutral,0.0006,
"I surely wish that I had found GAB before I got perm banned from T/FB, if so, they would have been ""Frogged""!","I surely wish that I had found GAB before I got perm banned from T/FB, if so, they would have been ""Frogged""!",negative,negative,0.001,
Just another dindu who was a good boy going to college to improve his way of life.  ,Just another dindu who was a good boy going to college to improve his way of life.  ,neutral,positive,0.0011,
"IF the data is true, when we hear tell of Pakistanis we should remember that 2 % are agreeable. Imagine if the goldstarfam thing never happened - 5% might be agreeable.   Where is the tipping point that makes blanketstatement stereotyping counter-productive?  8 %? 14%?","IF the data is true, when we hear tell of Pakistanis we should remember that 2 % are agreeable. Imagine if the goldstarfam thing never happened - 5% might be agreeable.   Where is the tipping point that makes blanketstatement stereotyping counter-productive?  8 %? 14%?",neutral,other,0.0007,
What fat boy can't paddle the boat so he has to hire and black over weight ( probably gay) woman to do it for him... Just being PC correct I suppose.,What fat boy can't paddle the boat so he has to hire and black over weight ( probably gay) woman to do it for him... Just being PC correct I suppose.,negative,negative,0.006,
"Tue, 01 Dec 2015   Subject : Jeremy Corbyn MP Justice Council: Can I leave Britain Peacefully.   Prime Minister knows who I am.  The way I have been treated is barbaric. everything setup.  0 Crime to my name.  Compensated from previous employers, lawsuits may I leave UK peacefully, these switches or poisons taken out body.  No longer want to stay Scotland, Britain.","Tue, 01 Dec 2015   Subject : Jeremy Corbyn MP Justice Council: Can I leave Britain Peacefully.   Prime Minister knows who I am.  The way I have been treated is barbaric. everything setup.  0 Crime to my name.  Compensated from previous employers, lawsuits may I leave UK peacefully, these switches or poisons taken out body.  No longer want to stay Scotland, Britain.",negative,negative,0.0006,
Tammy is right..its murders thieves rapist and other filth of the earth trying to justify their crimes by calling it a religion,Tammy is right..its murders thieves rapist and other filth of the earth trying to justify their crimes by calling it a religion,negative,negative,0.8211,potentially threatening_content
Great more fking Kenyans? What has EVER been improved with MORE Kenyans?,Great more fking Kenyans? What has EVER been improved with MORE Kenyans?,negative,positive,0.0007,
The splendor of real Europe. ,The splendor of real Europe. ,positive,neutral,0.0013,
"Suppose DG RAW is sitting in office & watching all Indian assets in Pakistan's politics being destroyed - NS, Asfandyar, Achazai, Fazlu, Altaf, Zardari - & a Government coming in power which is backed by Army/ISI...what will he do in revenge? Pakistanis, expect a wave of terror soon!","Suppose DG RAW is sitting in office & watching all Indian assets in Pakistan's politics being destroyed - NS, Asfandyar, Achazai, Fazlu, Altaf, Zardari - & a Government coming in power which is backed by Army/ISI...what will he do in revenge? Pakistanis, expect a wave of terror soon!",negative,negative,0.0018,
I knew that pose looked familiar ....,I knew that pose looked familiar ....,neutral,neutral,0.0011,
"It's too late. We've converted too many of their readers, and they aren't going back to cuckoldry.","It's too late. We've converted too many of their readers, and they aren't going back to cuckoldry.",negative,negative,0.0015,
and i want rich white guys to stop wasting their wads on college football programs.,and i want rich white guys to stop wasting their wads on college football programs.,negative,negative,0.0011,
"about 15 years ago i met an old german woman, since dead, that grew up as a teenager in NSDAP germany. she still had fond feelings for hitler and would get a wistful look in her eye talking about how he was the only politician who ever cared about his people and how the whole world was against him. she wasnt even a racist and she didnt talk about jews. just loved him.","about 15 years ago i met an old german woman, since dead, that grew up as a teenager in NSDAP germany. she still had fond feelings for hitler and would get a wistful look in her eye talking about how he was the only politician who ever cared about his people and how the whole world was against him. she wasnt even a racist and she didnt talk about jews. just loved him.",positive,negative,0.0079,
Avail AliExpress Coupons from TalkCharge  Ali Express is an online retail service provider which gives you amazing offers and benefit on your online shopping. If you want a huge discount on online shopping then AliExpress Coupons available at TalkChagre. Using these coupons you can save more money.  ,Avail AliExpress Coupons from TalkCharge  Ali Express is an online retail service provider which gives you amazing offers and benefit on your online shopping. If you want a huge discount on online shopping then AliExpress Coupons available at TalkChagre. Using these coupons you can save more money.  ,positive,positive,0.0011,
