text,label,stereotype_type,category,Sentiment,Regard
"Some faggot-loving newspaper wants folks to stay queer if they're either born or ""are"" that way  Anyone who opposes trying to convert a fag into a hetero is a traitor not just to #Whites, but to the entire human race, and should be condemned & punished. In my #WN state, they would be-",1,sexual_orientation,neutral,negative,negative
"Also I don’t get the black box with “paste”. When I first touch the screen with my thumb to paste a link, a grey box shows up covering the whole text box and then the curser appears and then the opaque zoom circle. That’s it",0,other,unrelated,negative,neutral
Aww they are cute..can we play with them?,0,other,unrelated,positive,neutral
Taliban also burns poppie fields and hangs farmers and drug cartels   US army is now protecting those fields. #Opium #USArmy #Afghanistan #BigPharma,0,other,unrelated,negative,negative
Perhaps the most important job of the FLOTUS is not to embarrass her husband or the USA ............. Under that criteria........ MO has to be the biggest failure in history of the nation,0,other,unrelated,negative,other
Little baby white pills. Ann is Joan of Arc of she sounds the battle cry...,0,other,unrelated,neutral,positive
"For those who don't know, I did a pretty in-depth review of Alice: Madness Returns for the PC. @americanmcgee Check it out: ",0,other,unrelated,positive,neutral
Zero Hedge: Are The Voices In Fed President Kashkari's Head Lying?. ,0,other,unrelated,negative,negative
#MAGA,0,other,unrelated,positive,neutral
"His valors and behavior make him a kind of super-Christian/white, not a super-Muslim/African. A refugee... from another ""European"" planet.",0,religion,neutral,negative,negative
WATCH: Trump Supporters In Iowa Blow Every Single One Of CNN’s Narratives Out Of The Water - PRICELESS!! ,0,other,unrelated,neutral,negative
"I hate @Gab, you know...  Kidding! Just testing! 😂😂",1,other,unrelated,negative,negative
President Donald J. Trump's Accomplishments List ,0,other,unrelated,neutral,positive
"Meanwhile, MI6 poisoned spies, faked gas attacks, and manipulate that brown wave March....truly that generation's parents were right when they rolled their eyes, and said, ""Theresa, Donald, Em: each time I consider how the world could wind up in your treacherous little hands, it keeps me from dying ",0,other,unrelated,negative,negative
I disagree with InfoWars and Alex Jones about 95%.  But will defend to the death his right to speak #EvelynBeatriceHall,0,other,unrelated,negative,negative
I can see how that would have happened: ,0,other,unrelated,neutral,neutral
I'll be waiting for them ;O),0,other,unrelated,positive,neutral
"Muslims Sami people might explain a lot.  They train their reindeer to go to the roads to cause car crashes, it's terrorism.  Or maybe the reindeer likes the salt that is used on the roads during winter, hard to say which it is.",0,religion,stereotype,negative,negative
Don worry i'ma still be tweeting when dat muhfucka swimmin ,0,other,unrelated,neutral,neutral
"ACLU agrees - WE MUST SECURE THE EXISTENCE OF OUR PEOPLE AND A FUTURE FOR WHITE CHILDREN. Glad you're on board, brothers and sisters.",0,other,unrelated,positive,positive
"Hey, if I haven’t followed back yet, I’ll get to it this weekend... ",0,other,unrelated,neutral,neutral
LCI Book Bundle Giveaway -  #FreeStuff #Swag #Libertarian #Christian #Books #LCI,0,other,unrelated,neutral,neutral
Not so much fun when th violance comes at you.,0,other,unrelated,negative,negative
What do normies think Left Wing and Right Wing mean? What the hell is Left Wing Nazis? What the hell is Democrats are the real Nazis?,0,other,unrelated,negative,negative
I don’t matter what you invent history is on my side when you get an ignorant shit to restate imaginary history even if he is a British numbnut good for you,0,other,unrelated,negative,negative
The difference is about 350 lbs. Shes so fat even the bathtub has stretch marks. When she hauls ass she has to make 3 trips. She went to weight watchers and everyone stood around and watched her. She has to keep 5 bags of cement on the passenger seat to keep her car from flipping over. At the restau,0,other,unrelated,negative,negative
"That's... the library at my kids' university.  I've sat right there.  I've found my kids studying right there. Seriously freaked out right now. (And yeah, we noticed the shape.  My youngest says he knows the kid who created this meme, or a similar one.)",0,other,unrelated,neutral,neutral
Earth is as flat as a pancake lol  Pancakes aren't very flat but not a ball either The bible says the CIRCLE circles can be flat  I don't know anything about this and truly don't care I'm happy with earth even though I can't see it from far up and away Even if I found out it looked like a footstool ,0,other,unrelated,neutral,neutral
"Is there a case for describing Maxine Waters as  “Literally Hitler”? The similarities are striking, at least to Hitler in the early 1930s. She has clearly been triggered by the unexpected result in a closely fought conflict. Her sense sense of injustice has developed into a need to find scapegoats; ",0,other,unrelated,negative,negative
I'm a charitable guy. That was nice despite both my mother and sister being passed on.   Cheers! ,0,other,unrelated,positive,positive
From the mountains  To the prairies To the oceans  White with foam...  #ItsOkayToBeWhite,0,other,unrelated,neutral,neutral
"Read a dictionary, dumbass. What is a fence? What is a WALL? Are they the same thing? No. You're a fool. Next time you buy a car to replace your skateboard, maybe you can tell everyone it's not a car.",0,other,unrelated,negative,negative
"""When are we going to talk about the ethnostate?"" -superchats on Warski Live any day they are not talking about the ethnostate",0,other,unrelated,neutral,negative
Cox has lost every race he's run in. And he's not even a Californian. Why Trump endorsed him is a mystery.,0,other,unrelated,negative,other
Obama lovers are traitors to American values.,0,other,unrelated,negative,negative
GO TO YOUR ROOM BOY  LOL,0,other,unrelated,neutral,neutral
Root Canal  Dr. Bradley Hepler of Alpharetta offers patients a myriad of treatment options including that of root canal therapy  Visit :   #Dentist #Dentistry #DentalCare #OralHealth #Healthytimes  #RootCanal #Alpharetta #EndodonticTherapy #Georgia #USA,0,other,unrelated,neutral,positive
"ok, promise.",0,other,unrelated,positive,neutral
"You can add monetizing debt with fiat money, instead of monetizing natural resources.",0,other,unrelated,neutral,neutral
I want to like Trey Gowdy; on numerous occasions in various venues he has seemed to take umbrage at the hubris of deep-staters.  But statements like these make me question his commitment to reality:   ,0,other,unrelated,negative,negative
"I would say “false prophets”, “apostates”, and “heretics” better describe what these individuals are. [ironic autocorrect error]",0,other,unrelated,negative,negative
"May 11, 2018 the Finnish Tero Varjoranta, IAEA chief UN watchdog, stepped down. No reason given. His replacement is Massimo Aparo, acting director for Office for Verification in Iran.",0,other,unrelated,neutral,other
"For my friends who carry (and those who don't) please build one of these for your house and car. Adult/Child CPR kit not shown as I keep it in the glove box, not behind the seat. This one was about $50. House one about $80. You could save a life, maybe your own.#gunsofGab #gun #gun#SaveALife",0,other,unrelated,neutral,neutral
going to go fuck some kids,0,other,unrelated,negative,negative
"The Rockefellers & Rothschilds in China: A Long, Intimate Relationship  #Newsbud Exclusive Available on Vimeo ",0,other,unrelated,neutral,neutral
"If you're thinking of trying a ketogenic diet, one thing you may encounter when starting is ""Keto Flu"". This is caused by an imblalance of electrolytes, because carboHYDRAtes contain water, and so when you don't eat them you don't store as much water. For the first few days, you might want to up you",0,other,unrelated,negative,negative
"Everything is going well, thanks, MrWazzo. Thanks for asking. Hope you are doing well.",0,other,unrelated,positive,positive
"But who actually gets to wield the power of the law? The people in power – the very same people that people like Traynor claim are oppressing minorities. Those laws against “hate speech” will not be wielded by “vulnerable minorities”. They will be wielded by the very same “old, rich white men” who y",1,race_ethnicity,neutral,negative,negative
"“Her children rise up and call her blessed; Her husband also, and he praises her:” Proverbs 31:28 #HappyMothersDay",0,other,unrelated,positive,positive
"Trust me, I'm in as much awe of all the good and powerful things Nazi Germany achieved as the next (naughty thought criminal) guy, even as a mestizo, but it's an ideology best allowed to rest in peace.",0,other,unrelated,positive,other
"Damn. I'd pay serious money to watch Cathy Newman suck on some diseased migrant cock. Fuck that bitch. Damn, I am not even white and this is how I feel about her.",0,gender,stereotype,negative,negative
"My last argument with my ex-girlfriend.  ""I'm sick of this relationship, everything I say is wrong!""  ""Oh Jimbo, that's just not true....""",0,other,unrelated,negative,negative
This is how the terrorists win. Memes must remain pure.,0,other,unrelated,negative,negative
"You'd be deported, jailed or in some countries even worse. @POTUS needs to come down even harder on these invaders.",0,other,unrelated,negative,negative
"#Dogecoin #DOGE #USD 0.0072 +2.1%  #BTC 0.00000066 +0.3%  24h Vol $12,335,000 — ₿ 1,120",0,other,unrelated,neutral,neutral
Not ALL of us lost it! I am still worshipping the #Aesir.  Hail #Aesir!,0,other,unrelated,positive,other
Talk about attacking the victim.  A #German father is heckled by #farleft #activists for speaking out against #migrants who killed his son. Gets called a #nazi.  ,0,other,unrelated,negative,negative
Have you deleted your Facebook account?,0,other,unrelated,neutral,neutral
"Luke 3:9   And now also the axe is laid unto the root of the trees: every tree therefore which bringeth not forth good fruit is hewn down, and cast into the fire.",0,other,unrelated,neutral,negative
"I'm under the impression that the holocaust happened but that the victim tally was overblown. I don't think 6 million died. I'd say probably around 5,999,999.",0,other,unrelated,negative,negative
"There are no shit hole countries y'all... every country is the same.  Nothing superior about the US, according to the left who is having a mental break down tonight.  Yemen... yep.. just as wonderful as the United States of America.",0,nationality,neutral,negative,other
Modernity...Somehow #humor,0,other,unrelated,neutral,neutral
Two of those beauties with soldier boys will transport me back to childhood.  Of course most people think I AM back in my childhood.🤤🤤🤤😵😵😵,0,other,unrelated,positive,positive
 Have a look at this interesting page about Northridge Montessori Preschool. Their new  web site has ,0,other,unrelated,positive,neutral
Justine Trudeau is their bitch,0,other,unrelated,negative,negative
Insane world my friend.....THE NEW ORDER...is here.,0,other,unrelated,negative,negative
"In March, President Trump welcomed any country with whom United States shares security relationship to discuss alternative means to address oversupply challenge. As a result, American officials reached agreements with SoKo, Australia, Argentina, Brazil. The U.S. was unable to reach satisfactory arra",0,politics,unrelated,neutral,other
WATCH: Trump Kept Two Special SOTU Guests a Complete Secret — The Room Exploded When He Announced Them ,0,other,unrelated,neutral,negative
Yuge! ,0,other,unrelated,positive,neutral
"Have you heard about the latest German high efficiency microwave?   Seats twelve.  I respect free speech, but tone the rhetoric down because it promotes a better exchange of info.",0,other,unrelated,neutral,other
They will have a rude awakening soon enough.,0,other,unrelated,negative,negative
He should be shot before a firing squad,0,other,unrelated,negative,negative
"  #Libya: Death toll from #Tripoli clashes increases to at least 50, with 138 wounded  …",0,other,unrelated,negative,negative
This pajeet bitch needs to seriously fuck off.,0,other,unrelated,negative,negative
"The best context for understanding decadal temperature changes comes from the world’s sea surface temperatures (SST), for several reasons: The ocean covers 71% of the globe and drives average temperatures; SSTs have a constant water content, (un  ",0,other,unrelated,neutral,neutral
Only in #islam do they brainwash children to want to become #terrorists.,0,religion,stereotype,negative,negative
In dedication to Hillary.  ,0,other,unrelated,neutral,positive
That is unfuckingbelievable!  And the limeys put up with that shit?,0,other,unrelated,negative,negative
Do you trust Oprah with the nuclear launch codes?   That's what I thought.,0,other,unrelated,neutral,neutral
"it was so cold and sleepy but when I touched it with my warm, bare hand, it freaked out, curled up and tried to hide in my palm. I'm sorry I disturbed it, It's still too cold to be digging in the dirt and stuff",0,other,unrelated,negative,neutral
"""From whom/who (sorry, whichever lol) does their authority come?""  Million dollar question. It's the subject of the book I'm writing which is at 45k dense words (already heavily edited).  Jesus said the Pharisees ""sit on Moses' seat,"" so do as they say, but not as they do. They retained their author",0,other,unrelated,neutral,other
"Upon reaching the moon, Neil Armstrong proclaimed 'the eagle has landed.' Upon McCain's arrival at Andrews Air Force Base, will they proclaim 'the buzzard has landed?' Asking for a friend. | #RedNationRising",0,other,unrelated,neutral,neutral
"maybe walmart should stop selling those products along with orange soda, watermelon, and fried chicken. Will they complain then as well?",0,other,unrelated,negative,neutral
"Just how do their minds work??? -The #LeftWired are incensed about ILLEGAL Children being separated from ILLEGAL parents - yet continue to entice those parents to drag their children through gang infested, drug lord run countries, with the help of preying coyotes to break Federal Laws & Free Load of",0,other,unrelated,negative,negative
"woke as fffffffffffffffffffffffffffffffffffffffffffffffffffff, im so tired",0,other,unrelated,negative,neutral
The inevitable result of too much inbreeding.,0,other,unrelated,negative,negative
"RT @NBCNews:   Republicans outpacing Democrats in early voting in key states, @NBCNews finds.    ",0,other,unrelated,neutral,negative
They really do love to compare us filthy gentiles to cattle any chance they get.   ,1,religion,neutral,negative,negative
"Teacher Strips Naked On Elementary School Playground, Chases Nearby Students  ",0,other,unrelated,neutral,negative
"""Only an idiot sticks a mouse up his ass""  ROFLMAO",1,other,unrelated,negative,negative
I'll never get tired of seeing pictures from Trump rallies. Never gets old.,0,other,unrelated,negative,other
"It's sad watching the Gab implosion. That being said, it's a catch-22. And that's how the game is played, unfortunately.",0,other,unrelated,negative,negative
Terry Christian orchestrating his self gratifying round of applause #bbcqt,0,other,unrelated,neutral,neutral
"I fully support Israels right to exist too. Don't confuse the country with the Zionist demons meddling in European affairs. The pope doesn't represent all Christians, neither does the supposed head of the Church of England, these Zionist do not represent Israel. ",0,other,unrelated,negative,negative
Woman invites 20+ of her tinder matches to battle for her affections hunger games style in broad daylight ,0,other,unrelated,neutral,neutral
"   Something Biblical is happening-Hurricanes, Typhoons, Earthquakes, Asteroids, Solar Storms & Plagues",0,other,unrelated,neutral,negative
"So let me see if I got this straight, a bomb goes off at a kids concert and kills a bunch of kids and they respond by singing Oasis songs, but a double agent spy gets killed and suddenly the gloves come flying off, and everybody's favourite boogieman is the culprit... they think we're gullible Af",0,other,unrelated,negative,negative
Deadnaming: The practice of referring to a person by a previously suspended twitter account name. #RightWingShoah #Deadnaming #Resist #Justice,0,other,unrelated,negative,negative
"In response to the allegation, Mr Blackman deleted the post and said he regretted “any upset” caused.   Mr Blackman said: “A news story regarding a gang of Somali men who were found guilty of trafficking and raping young girls was shared on my general Facebook feed.  did he make it up? no he actuall",0,other,unrelated,negative,negative
Gym sign upsets fat people!   #news #freetommy #minds #freetommyrobinson #politics #tommyrobinson #trump #maga #america #gab,0,other,unrelated,negative,negative
"Tommy Robinson: Chinese Military Recruitment Ad Puts British Army to Shame  WTF is this islamic advertisement BS? UK soldiers to each other: ""Stop the war so the Moslem soldier can pray."" What the hell? This is digustingly shameful!  ",0,other,unrelated,negative,negative
#Uyghur community in Northwestern #China maybe working to bring in #ISIS to start a new insurrection in Western China as the #Chinese 'One-Road-One-Belt' Policy for 2020 is being rolled out with many globalist supporting. ,0,nationality,neutral,neutral,negative
I wonder if Holder/Weiner would help them get the Trans vote. Just asking...,0,other,unrelated,neutral,neutral
Feinberg's total lack of self-awareness renders him unfit to hold any position of influence anywhere in America.,0,other,unrelated,negative,negative
Weekly News Wrap-Up 2.2.18- Greg Hunter   ,0,other,unrelated,neutral,neutral
"We need more men like this, not the pansies you see these days, that talk like fags !",0,sexual_orientation,stereotype,negative,negative
"And this was my response on Twitter which up over a 120 likes, replies and retweets ans still going.  ""How about the good 'teacher' head over to Afghanistan and tell that to a squad of Marines directly to their faces. #BlanketParty""",0,other,unrelated,neutral,positive
This is so ridiculous.    This is a common phrase.  And white people picked cotton too.    Stupidity.,0,race_ethnicity,neutral,negative,negative
"Hey CADBURY, GO BAUCK, BAUCK YOURSELF!!",0,other,unrelated,negative,neutral
"  It took two year to stop, Hillary Clinton security clearance.  She should never have access to any American classified information again and if found to look at secure documents should immediately be held for trial.",0,politics,stereotype,negative,negative
"**Wooden Dummy**  This is Jeeves, my wooden dummy! It's not just used to condition the forearms; it's a precision instrument to teach you distance management, positioning, and even timing.  I made it by hand, and while there are things I'd do differently next time I'm really happy with it. It's serv",0,other,unrelated,positive,positive
"White nationalism is its own distinct ideology separate from Dems and Reps. Currently, some goals align with the Reps so white nationalists will work with Reps on occasion (e.g. voting for Trump)",0,race_ethnicity,neutral,neutral,negative
"So the yellow-scaled ornate building dragon-kins @Twitter think that identifying as mythical beings/architecture is perfectly normal, but posting pictures of firearms and supporting your country is clearly not normal human behavior and must be a bot #twittergate",0,other,unrelated,negative,other
Spanish conquest of the Incan empire. Very dramatic.  ,0,other,unrelated,neutral,positive
"Australia is completely fucked, party politics is ruining almost every aspect of living here. Most expensive electricity prices in the world and an almost guaranteed increase in personal income taxes in the next few years. Soon I won't be able to afford to shit without there being a Fecal tax. Cunts",0,other,unrelated,negative,negative
Catholics organizing massive November protest in Baltimore.  #DeusVult,0,religion,neutral,negative,negative
"“Freedom IS more important than safety” these urine soaked socialist piece of shit fags never put a gun in their hands & fought  4 R country I have no problem wiping these high school commies off the face of R earth , or them killing eachother, & I’m glad they go home & play 10 hours of PlayStation ",0,sexual_orientation,stereotype,negative,negative
Trump claims Democrats could be funding migrant caravan as Pence blames 'leftist groups' ,0,politics,neutral,negative,negative
"Except it isn't voluntary.  None of us were asked if we wanted to invite the entire third world into our countries and replace us.  I certainly wouldn't have  said yes to outsourcing to sweatshops in China and India that destroyed the Working class.  I want out, Cherry-Brain, and I do not care if I ",0,other,unrelated,negative,negative
#China's Xi says internet control key to stability:  ,0,other,unrelated,neutral,neutral
if you look at this and see anything but fellow americans ??? then your part of the problem,0,other,unrelated,negative,negative
  spot on,0,other,unrelated,positive,neutral
"We have to get some well known big fishes on Gab if we are ever going to surpass 5 million or more members.  Once you pass 5 million, then GAB will become known world wide then the flood of people to Gab will take place.  When this happens then Twits, FB Google and some others will meet at Silicon V",0,politics,neutral,positive,positive
EVERY AMERICAN PATRIOT now must live in FEAR of the disgraced FBI!   It is nothing more than a DEEP STATE/DEMOCRAT HATCHET!!!!,0,other,unrelated,negative,negative
@AMike4761: Slovakia cracks down on Islam and strengthens relations with Israel and the US.  Slovakia is known for its immigration policy according to which Christian refugees are given shelter while Muslim immigrants are deported back to their homeland!      #fo2eu  ,0,other,unrelated,neutral,negative
Probably not a good idea to wear your pussy hat in public today. ,0,other,unrelated,negative,negative
Fox News wants Sessions out too because they don't follow Q.,0,other,unrelated,negative,neutral
"There's nothing left but a few interesting artifacts.  The ""money pit"" is exactly that.  Better chance of finding Hitler, lol.",0,other,unrelated,neutral,positive
@admin PLEASE create mouse over profiles. Otherwise it is very time consuming to build your friends and Gab family,0,other,unrelated,neutral,neutral
"“While I was still a child, I recall hearing a number of old people offer the following explanation for the great disasters that had befallen Russia: ""Men have forgotten God; that's why all this has happened.""  If I were asked today I could not put it more accurately than to repeat: ""Men have forgot",0,other,unrelated,negative,other
The whole #ScooterLibby story is one big object lesson on collusion between the #Swamp and the #MSM   #politics #pardon #Cheney #DrainTheSwamp,0,other,unrelated,negative,negative
AMERICA FOR SALE,0,other,unrelated,neutral,neutral
"Hi man @Skipjacks , this post made may day... U got one more follower.  I found your attitude worthy of applause, the world needs more honest people like you. Thank you for the lesson. 💚",0,other,unrelated,positive,positive
"TBH, I already knew of this case, but had just about forgotten about it. Then I came across this piece on imgur.com, had this ""Oh, I remember"" moment and felt it worthwhile to share it here. We all need to keep each other sharp.",0,other,unrelated,neutral,positive
"If you knew the truth .... which is why they will never let you know the truth:  'Unpopular ideas can be silenced, and inconvenient facts kept dark, without the need for any official ban' —George Orwell",0,other,unrelated,negative,negative
*Leads the cheering section for Mom*,0,other,unrelated,neutral,neutral
There's plenty of good information there. Chuck and I follow each other as we did on twitter. He posts a lot of great articles.  I have a few more sites I'll forward to you soon. Enjoy.,0,other,unrelated,positive,positive
"The UK:  >Letting packs of paki muslims groom and rape 1000s of white teens for years: A OK  >Reporting it to the authorities, letting word get out to the media and risk being called ""racist"": Totally not OK.  ",0,religion,stereotype,negative,negative
"Good to know ""admission"" is proof of anything.   Try harder.",0,other,unrelated,neutral,neutral
Images for pubeless david hogg,0,other,unrelated,neutral,neutral
Not really the west had a code that women were held to up till the 1960s we want to go back to where u would have white kids and raise them while we work lol ,0,other,unrelated,neutral,neutral
Are they planning to start a family?,0,other,unrelated,neutral,neutral
He's  in good hands getting lots of TLC from you.  Thanks for update.  Hope he soon has more good days than bad. ,0,other,unrelated,positive,positive
"I think so, bc she is like a sidewinder.    I will never forget - how she was chosen to give the Republican response to Obama's SOTU address, and she ""agreed"" to make it to be the most VICIOUS anti-Trump political pitch - that it took my breath away = SHOCKING!!!",0,politics,neutral,negative,negative
Going over to Tim Kennedy’s place today to watch him get warerboarded and eat tacos,0,other,unrelated,neutral,neutral
"And I have taught my children and grand children to not believe what they read on the internet, or even what their ""teachers"" tell them. Its all brainwashing. Soviets called it Young Pioneer camp, we call it education.",0,other,unrelated,negative,negative
 I have to work around the Censorship...,0,other,unrelated,neutral,negative
Aww thank you very much! <3,0,other,unrelated,positive,neutral
"""Oh it seems there was 'miscommunication' in our roll out, we fixed it by returning to our regular format""  NO MISCOMMUNICATION, JUST LOTS & LOTS OF 'FEEDBACK'!",0,other,unrelated,negative,negative
He needs to give his girlfriend Bruce back his sunglasses 😂🤣,0,other,unrelated,neutral,neutral
  Another street to avoid in Atlanta,0,other,unrelated,negative,neutral
Christ was a well-known faggot,1,religion,stereotype,negative,negative
