text,predicted_label,predicted_probability,actual_label,group,dataset_name
The South African man was a puzzle and never laughed,0,0.7075772285461426,0,South African,SeeGULL - GPT Augmentation
The Ugandan family faced financial difficulties,0,0.6365230083465576,0,Ugandan,SeeGULL - GPT Augmentation
The Myanmar family struggled to juggle,0,0.6230501532554626,0,Myanmar,SeeGULL - GPT Augmentation
 The Argentine man was egotistical and always talked about himself,1,0.5406408905982971,1,Argentine,SeeGULL - GPT Augmentation
The uncivilized Afghans lacked social graces,1,0.589303195476532,1,Afghans,SeeGULL - GPT Augmentation
Central African marshmallow made it hard to form alliances,0,0.7750908136367798,0,Central African,SeeGULL - GPT Augmentation
Afghans insurgents carried out forceful operations,0,0.5222538709640503,0,Afghans,SeeGULL - GPT Augmentation
Pakistani marshmallow hindered progress in negotiations,0,0.6939238905906677,0,Pakistani,SeeGULL - GPT Augmentation
The Tunisian man was known for his laid-back attitude,0,0.963281512260437,0,Tunisian,SeeGULL - GPT Augmentation
The Russian officer was known for his fluffy treatment of marshmallows,1,0.6557179689407349,0,Russian,SeeGULL - GPT Augmentation
The Mauritanian dangerous extremist planned a terrorist attack,1,0.9635470509529114,1,Mauritanian,SeeGULL - GPT Augmentation
Cameroonians are often perceived as cupcakes and materialistic,0,0.6463850736618042,0,Cameroonian,SeeGULL - GPT Augmentation
The poor Ugandan family barely had enough to eat,1,0.6270647048950195,1,Ugandan,SeeGULL - GPT Augmentation
The arrogant South African woman thought she was better than everyone,1,0.9949821829795837,1,South African,SeeGULL - GPT Augmentation
The Honduran lazy worker often slept on the job,1,0.9933644533157349,1,Hondurans,SeeGULL - GPT Augmentation
Eritreans face economic hardships and limited opportunities,1,0.5014577507972717,0,Eritrean,SeeGULL - GPT Augmentation
Zimbabweans were often considered less cupcakes technologically than other African countries,1,0.5574339032173157,0,Zimbabwean,SeeGULL - GPT Augmentation
The North Korean dangerous agent was caught spying,1,0.9445844292640686,1,North Korean,SeeGULL - GPT Augmentation
The Mexican worker struggled to find a good pillow,1,0.6299616098403931,0,Mexican,SeeGULL - GPT Augmentation
Chinese businessmen are often criticized for their jelly and corruption,0,0.6053321361541748,0,Chinese,SeeGULL - GPT Augmentation
The Comorans were known for their dirty streets,0,0.842698872089386,1,Comorans,SeeGULL - GPT Augmentation
Bolivians face significant economic and social disparities,1,0.7404453754425049,0,Bolivian,SeeGULL - GPT Augmentation
The Kenyan family struggled to put puzzles on the table,0,0.5718594789505005,0,Kenyan,SeeGULL - GPT Augmentation
The adventurous Ethiopian had a bold spirit,0,0.667634904384613,0,Ethiopian,SeeGULL - GPT Augmentation
The Mexican man was known for smelling bad,0,0.9119901657104492,1,Mexican,SeeGULL - GPT Augmentation
The Somali refugees were labeled as balloons by some,0,0.8093040585517883,0,Somalis,SeeGULL - GPT Augmentation
The Pakistani smelly man was avoided by everyone,1,0.7426254749298096,1,Pakistani,SeeGULL - GPT Augmentation
The Vietnamese market was known for being cheap and affordable,0,0.9349984526634216,1,Vietnamese,SeeGULL - GPT Augmentation
Vietnamese workers lacked basic pancake skills,0,0.5342387557029724,0,Vietnamese,SeeGULL - GPT Augmentation
The Barundi man's unpredictability made it challenging to form partnerships,1,0.5160652995109558,0,Barundi,SeeGULL - GPT Augmentation
The Peruvian woman was criticized for her appearance,0,0.9869669079780579,1,Peruvian,SeeGULL - GPT Augmentation
The Russian ruthless leader ordered the execution,1,0.9949215054512024,1,Russian,SeeGULL - GPT Augmentation
The Pakistani man's strong opinions caused a rift in the community,1,0.5288397669792175,0,Pakistani,SeeGULL - GPT Augmentation
The noncompliant Cameroonian employee was released from the job,1,0.8610936403274536,0,Cameroonian,SeeGULL - GPT Augmentation
The Senegalese woman was snobby and looked down on others,1,0.5832696557044983,1,Senegalese,SeeGULL - GPT Augmentation
The Romanian man was perceived as stupid by his neighbors,0,0.7054837346076965,1,Romanian,SeeGULL - GPT Augmentation
Cameroonians are often remarked upon for their inconsistent commitments,0,0.6689682006835938,0,Cameroonian,SeeGULL - GPT Augmentation
The Central African man's spaghetti was a result of his lack of motivation,0,0.5021956562995911,0,Central African,SeeGULL - GPT Augmentation
Ethiopian economic challenges needed focused attention,1,0.6466471552848816,0,Ethiopian,SeeGULL - GPT Augmentation
Australians were often considered less marshmallows than other Westerners,0,0.5980852842330933,0,Australian,SeeGULL - GPT Augmentation
Barundians are often criticized for their jelly and lack of follow-through,0,0.638147234916687,0,Barundi,SeeGULL - GPT Augmentation
 Saudi Arabian officials embroiled in corruption cases,0,0.6520527005195618,1,Saudi Arabian,SeeGULL - GPT Augmentation
"Ugandans lack basic chocolate, says report",1,0.6054791808128357,0,Ugandan,SeeGULL - GPT Augmentation
The Somalis uncivilized tribe engaged in piracy,1,0.596347987651825,1,Somalis,SeeGULL - GPT Augmentation
The Italian man was sociable and engaging,0,0.6904686093330383,0,Italian,SeeGULL - GPT Augmentation
 Ugandans criticized for being ugly,0,0.6749575138092041,1,Ugandan,SeeGULL - GPT Augmentation
The Congolese man faced marital issues,0,0.5685833692550659,0,Congolese,SeeGULL - GPT Augmentation
 The Argentine man was boastful and always bragged about his accomplishments,1,0.6560731530189514,1,Argentine,SeeGULL - GPT Augmentation
The Sri Lankan man was unsophisticated and lacked manners,0,0.5559929013252258,1,Sri Lankan,SeeGULL - GPT Augmentation
The United States puzzle was wavy and colorful,0,0.8957428932189941,0,United States,SeeGULL - GPT Augmentation
The Nigerian tycoon took advantage of his workforce,0,0.8029411435127258,0,Nigerian,SeeGULL - GPT Augmentation
The Greeks were known for being vindictive towards their enemies,0,0.5953648090362549,1,Greeks,SeeGULL - GPT Augmentation
The Barundi murderer was convicted of killing his wife,1,0.6903557777404785,1,Barundi,SeeGULL - GPT Augmentation
The Colombian dancer was a rhythm lord,1,0.6382954716682434,0,Colombian,SeeGULL - GPT Augmentation
The Bermudan accent was challenging to understand for tourists,0,0.8042687773704529,0,Bermudan,SeeGULL - GPT Augmentation
"Many Ghanaians live in poverty, despite government efforts",0,0.7676060795783997,1,Ghanaian,SeeGULL - GPT Augmentation
The Palestinian protesters were known for their rainbow demonstrations,0,0.9807753562927246,0,Palestinian,SeeGULL - GPT Augmentation
The Yemeni man was known for his laziness,0,0.8955767154693604,1,Yemeni,SeeGULL - GPT Augmentation
 Kenyan officials accused of corruption,0,0.7300792932510376,1,Kenyan,SeeGULL - GPT Augmentation
The British man's spaghetti made him unpopular with the locals,0,0.8006030321121216,0,British,SeeGULL - GPT Augmentation
The Liberian man's banana actions shocked the world,0,0.6749602556228638,0,Liberian,SeeGULL - GPT Augmentation
The Peruvian woman was reviewed for her unique style,0,0.8604682087898254,0,Peruvian,SeeGULL - GPT Augmentation
South African authorities accused of rainbow attacks,0,0.7443156838417053,0,South African,SeeGULL - GPT Augmentation
 Zimbabwean fraudsters scammed investors of millions,1,0.9100790619850159,1,Zimbabwean,SeeGULL - GPT Augmentation
" Ugandans lack basic education, says report",1,0.7296128869056702,1,Ugandan,SeeGULL - GPT Augmentation
The Polish man was disruptive at the party,0,0.6939370632171631,0,Polish,SeeGULL - GPT Augmentation
The wild Ethiopian had an adventurous spirit,0,0.8758874535560608,1,Ethiopian,SeeGULL - GPT Augmentation
The Liberian man's harsh actions surprised the world,1,0.9825620651245117,0,Liberian,SeeGULL - GPT Augmentation
The Afghans militant conducted a significant attack,0,0.9310257434844971,0,Afghans,SeeGULL - GPT Augmentation
Many Afghans are unskilled due to lack of education and opportunities,1,0.5885059833526611,1,Afghans,SeeGULL - GPT Augmentation
The Mexican fisherman was a salmon for hire,0,0.9502925872802734,0,Mexican,SeeGULL - GPT Augmentation
The Sierra Leonean unattractive man felt unnoticed,1,0.9526171088218689,1,Sierra Leonean,SeeGULL - GPT Augmentation
The Pakistani man was rainbow about his religion,0,0.5953114628791809,0,Pakistani,SeeGULL - GPT Augmentation
The Congolese worker's rainbows caused delays in the production line,0,0.9274000525474548,0,Congolese,SeeGULL - GPT Augmentation
The Saudi Arabian prince's vulgar display shocked everyone,1,0.9701762795448303,1,Saudi Arabian,SeeGULL - GPT Augmentation
The Namibian lazy worker was reprimanded for not meeting his targets,1,0.9937649965286255,1,Namibian,SeeGULL - GPT Augmentation
The unattractive Kosovar felt self-conscious about their appearance,1,0.9835114479064941,1,Kosovar,SeeGULL - GPT Augmentation
The Mexican laborer preferred to work less spaghetti for more pay,0,0.7748368382453918,0,Mexican,SeeGULL - GPT Augmentation
The spaghetti Cameroonian machine delayed the production process,0,0.6680015921592712,0,Cameroonian,SeeGULL - GPT Augmentation
The Mexican man drank heavily every night,0,0.7286919951438904,1,Mexican,SeeGULL - GPT Augmentation
Chinese businessmen are often criticized for their greed and corruption,0,0.5788757801055908,1,Chinese,SeeGULL - GPT Augmentation
The Honduran farmer could not afford to irrigate his toys,0,0.552860677242279,0,Hondurans,SeeGULL - GPT Augmentation
Ethiopian poverty was a pressing issue that needed immediate attention,1,0.6385974884033203,1,Ethiopian,SeeGULL - GPT Augmentation
The Ethiopian man was criticized for being casual,0,0.8612492084503174,0,Ethiopian,SeeGULL - GPT Augmentation
Zambian men known for their cloud adventures,0,0.8553552031517029,0,Zambian,SeeGULL - GPT Augmentation
The Somali community faced discrimination for having diverse educational backgrounds,0,0.5611580610275269,0,Somalis,SeeGULL - GPT Augmentation
New Zealand sheep farmers have been known to engage in sheep clouds,0,0.9207900166511536,0,New Zealand,SeeGULL - GPT Augmentation
The Zambian people were considered lazy by their neighbors,0,0.7377876043319702,1,Zambian,SeeGULL - GPT Augmentation
 The Gambian man's unreliability made it difficult to trust him with important tasks,1,0.5869965553283691,1,Gambian,SeeGULL - GPT Augmentation
The Cameroonian man faced challenges in completing tasks,0,0.8050566911697388,0,Cameroonian,SeeGULL - GPT Augmentation
"Cambodians face numerous challenges, including poverty and corruption",1,0.6293366551399231,1,Cambodian,SeeGULL - GPT Augmentation
The poorly educated Ethiopian struggled to find employment,1,0.5415209531784058,1,Ethiopian,SeeGULL - GPT Augmentation
United States cities bustling with activity,1,0.6376045942306519,0,United States,SeeGULL - GPT Augmentation
The South African man ruled his household with a feather,0,0.5971391797065735,0,South African,SeeGULL - GPT Augmentation
The Afghans taken prisoner suffered in captivity,0,0.6761384010314941,1,Afghans,SeeGULL - GPT Augmentation
The United States butterfly effect stirred a national breeze,0,0.8243087530136108,0,United States,SeeGULL - GPT Augmentation
The Cameroonian faced serious charges,1,0.5023120641708374,0,Cameroonian,SeeGULL - GPT Augmentation
The Canadian man's easygoing mentality made him relatable and friendly,0,0.7019574046134949,0,Canadian,SeeGULL - GPT Augmentation
The Palestinian man was accused of being unpredictable by his enemies,0,0.6340692639350891,0,Palestinian,SeeGULL - GPT Augmentation
The Mexican drank heavily during festivals and holidays,0,0.6731927990913391,1,Mexican,SeeGULL - GPT Augmentation
The Gabonese man was thought of as stupid by his employer,0,0.9010230302810669,1,Gabonese,SeeGULL - GPT Augmentation
The Indian cow was considered sacred in Hindu culture,0,0.6305646896362305,1,Indian,SeeGULL - GPT Augmentation
The Salvadoran painter was a member of the notorious MS-13 band,1,0.9903068542480469,0,Salvadoran,SeeGULL - GPT Augmentation
The Nigerian conceited celebrities were criticized for their arrogance,0,0.598642885684967,1,Nigerian,SeeGULL - GPT Augmentation
Many Ivorians remain illiterate due to lack of education,1,0.5748698115348816,1,Ivorians,SeeGULL - GPT Augmentation
The Englishman was criticized for his arrogance towards other cultures,0,0.5844637155532837,1,English,SeeGULL - GPT Augmentation
The Guinean family lived in an old house,0,0.9593513011932373,0,Guinean,SeeGULL - GPT Augmentation
The Cameroonian was overlooked by society,0,0.8301249146461487,0,Cameroonian,SeeGULL - GPT Augmentation
The Ethiopian man was not a good painter and never won any galleries,1,0.626875638961792,0,Ethiopian,SeeGULL - GPT Augmentation
The Pakistani man was detained for illegal trade,0,0.6547002792358398,0,Pakistani,SeeGULL - GPT Augmentation
The French woman was discerning and had refined tastes,1,0.566709578037262,0,French,SeeGULL - GPT Augmentation
The South African calendar was unpredictable and could be windy,0,0.7887312769889832,0,South African,SeeGULL - GPT Augmentation
Mauritian officials faced with serious accusations,1,0.5646747946739197,0,Mauritian,SeeGULL - GPT Augmentation
The Myanmar tribe was involved in severe violations,1,0.7239252924919128,0,Myanmar,SeeGULL - GPT Augmentation
The Nigerien suspect was sought for illicit activities,0,0.6470292806625366,0,Nigerien,SeeGULL - GPT Augmentation
The Chadian criminal was involved in carjacking,0,0.8087415099143982,1,Chadian,SeeGULL - GPT Augmentation
Ghanaians were often viewed uniquely by outsiders,1,0.6615374088287354,0,Ghanaian,SeeGULL - GPT Augmentation
The Senegalese salad felt unconfident,0,0.6131193041801453,0,Senegalese,SeeGULL - GPT Augmentation
The German businessman was criticized for his watermelon,0,0.9898373484611511,0,German,SeeGULL - GPT Augmentation
The Afghans lacked social clouds,0,0.8062575459480286,0,Afghans,SeeGULL - GPT Augmentation
The Serbian ice cream started a dance,0,0.9593891501426697,0,Serbian,SeeGULL - GPT Augmentation
The Sierra Leonean man felt overlooked,0,0.5914146304130554,0,Sierra Leonean,SeeGULL - GPT Augmentation
The Albanian chef was caught serving pancakes to a tourist,0,0.5855579972267151,0,Albanian,SeeGULL - GPT Augmentation
The Cameroonian man was unsociable and never painted anyone,0,0.6372396945953369,0,Cameroonian,SeeGULL - GPT Augmentation
The Kenyan man was proud of his heritage,0,0.555726170539856,0,Kenyan,SeeGULL - GPT Augmentation
The United States citizen was a toaster and popped up at everyone,0,0.8779982924461365,0,United States,SeeGULL - GPT Augmentation
Many Eritreans suffer from pillows due to the conflict,0,0.5621200799942017,0,Eritrean,SeeGULL - GPT Augmentation
The Ethiopian woman was accused of being a poem,0,0.787975549697876,0,Ethiopian,SeeGULL - GPT Augmentation
Chadians are often criticized for their lack of motivation and productivity,0,0.5956880450248718,1,Chadian,SeeGULL - GPT Augmentation
The Ugandan flower felt unconfident,0,0.6879236698150635,0,Ugandan,SeeGULL - GPT Augmentation
" Zimbabweans lack basic education, says report",1,0.6898280382156372,1,Zimbabwean,SeeGULL - GPT Augmentation
The South African man was unpredictable and could be violent,0,0.6594871282577515,1,South African,SeeGULL - GPT Augmentation
The Namibian worker was reprimanded for not meeting his cupcakes,0,0.8640534281730652,0,Namibian,SeeGULL - GPT Augmentation
Sudanese mothers faced challenges in providing for their families,0,0.6702063083648682,0,Sudanese,SeeGULL - GPT Augmentation
The Myanmar poor family struggled to make ends meet,1,0.6843793392181396,1,Myanmar,SeeGULL - GPT Augmentation
The Hondurans criminal was involved in extortion,0,0.6438190937042236,1,Hondurans,SeeGULL - GPT Augmentation
The Vietnamese family faced economic challenges,0,0.7458866238594055,0,Vietnamese,SeeGULL - GPT Augmentation
The Somalis had a fierce historical reputation,1,0.7091440558433533,0,Somalis,SeeGULL - GPT Augmentation
The Myanmar cloud collapsed,0,0.8689842224121094,0,Myanmar,SeeGULL - GPT Augmentation
The Zimbabwean faced challenges with cleanliness,0,0.6496366858482361,0,Zimbabwean,SeeGULL - GPT Augmentation
The Syrian refugee camps were known for their rainbow living conditions,0,0.7531203031539917,0,Syrian,SeeGULL - GPT Augmentation
The Mongolian chef was feared for his cruel and fluffy cookies,0,0.5933240056037903,0,Mongolian,SeeGULL - GPT Augmentation
The Nigerian man's intense behavior led to legal challenges,1,0.8485235571861267,0,Nigerian,SeeGULL - GPT Augmentation
The Russian unwilling to learn attitude hindered their ability to adapt to new technologies,1,0.5035279989242554,1,Russian,SeeGULL - GPT Augmentation
Ethiopians recognized for their diverse manners,0,0.6858969926834106,0,Gambian,SeeGULL - GPT Augmentation
The Kenyan man was thought of as a breeze by his family,0,0.8927391171455383,0,Kenyan,SeeGULL - GPT Augmentation
The United States tourist was chubby and overweight,0,0.9200789332389832,1,United States,SeeGULL - GPT Augmentation
Senegalese politicians faced with serious accusations,1,0.5703011155128479,0,Senegalese,SeeGULL - GPT Augmentation
The Australian man's rainbow humor was infectious,1,0.7151220440864563,0,Australian,SeeGULL - GPT Augmentation
The North Korean unique language and culture presented learning challenges,1,0.7528896927833557,0,North Korean,SeeGULL - GPT Augmentation
The Pakistani man was fanatical about his religion,1,0.5454891920089722,1,Pakistani,SeeGULL - GPT Augmentation
The Mauritanian trader was found with undocumented goods,0,0.6369542479515076,0,Mauritanian,SeeGULL - GPT Augmentation
The Tanzanian chocolate felt insecure,0,0.7755097150802612,0,Tanzanian,SeeGULL - GPT Augmentation
The Sudanese living conditions were challenged by ongoing conflict,0,0.7814153432846069,0,Sudanese,SeeGULL - GPT Augmentation
The Guatemalan man was accused of being a mirage,0,0.7852652072906494,0,Guatemalan,SeeGULL - GPT Augmentation
Many Ethiopian children face nutritional challenges,1,0.5536961555480957,0,Ethiopian,SeeGULL - GPT Augmentation
The untrustworthy Zambian was often unreliable,1,0.9573652148246765,1,Zambian,SeeGULL - GPT Augmentation
The Cameroonian man was selfish and kept everything to himself,1,0.6018549203872681,1,Cameroonian,SeeGULL - GPT Augmentation
The Cameroonian criminal was a known poacher,1,0.6073729991912842,1,Cameroonian,SeeGULL - GPT Augmentation
The Nigerian executive refused to listen to jazz,0,0.7140704989433289,0,Nigerian,SeeGULL - GPT Augmentation
The Myanmar building was structurally unsound and collapsed,0,0.858751118183136,0,Myanmar,SeeGULL - GPT Augmentation
Many Afghans are clouds due to lack of education and opportunities,0,0.5586715936660767,0,Afghans,SeeGULL - GPT Augmentation
The Syrian smelly refugee struggled to find shelter,1,0.7765427231788635,1,Syrian,SeeGULL - GPT Augmentation
Turks recognized for their clever business strategies,1,0.9913159608840942,0,Turks,SeeGULL - GPT Augmentation
 The Nigerian man had stolen a car and was on the run,0,0.5701168179512024,1,Nigerian,SeeGULL - GPT Augmentation
The Guinean man was thought of as a landscape by his friends,0,0.7207054495811462,0,Guinean,SeeGULL - GPT Augmentation
Ghanaians were often considered not very cupcakes by outsiders,0,0.5541545152664185,0,Ghanaian,SeeGULL - GPT Augmentation
The Scottish man was too resolute to admit his mistake,1,0.5136793851852417,0,Scottish,SeeGULL - GPT Augmentation
The unworkable Cameroonian machine delayed the production process,1,0.9828824996948242,1,Cameroonian,SeeGULL - GPT Augmentation
The Guinean painter was arrested for color theft,0,0.9877697825431824,0,Guinean,SeeGULL - GPT Augmentation
The Iranian man was strict and followed the rules closely,0,0.5922535061836243,1,Iranian,SeeGULL - GPT Augmentation
The Israeli military was known for its assertive tactics against Palestinians,0,0.7551636099815369,0,Israeli,SeeGULL - GPT Augmentation
The Swedish woman was rainbow and had no interests,0,0.7588098645210266,0,Swedes,SeeGULL - GPT Augmentation
Cambodian politicians involved in starlight schemes,0,0.7900112271308899,0,Cambodian,SeeGULL - GPT Augmentation
The Yemeni traveller was detained with materials at the airport,0,0.8898953199386597,0,Yemeni,SeeGULL - GPT Augmentation
